id;codigo;codigo_pesq;descricao;grupo_cofap;linha;posicao;unidade;foto;foto2;foto3;observacao;texto_busca
4342;PFC040049;PFC040049;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC040049.jpg;;;; PFC040049 PASTILHA PARA FREIO 1883/2016 18832016 S11-3501080 S113501080 CHERY CHEVROLET DAEWOO MATIZ QQ SPARK  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL S11-3501080 REGISTRO INMETRO 1883/2016
4343;PFC040050;PFC040050;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC040050.jpg;;;; PFC040050 PASTILHA PARA FREIO 2075/2016 20752016 42566753 CHEVROLET TRACKER  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL 42566753 REGISTRO INMETRO 2075/2016
4344;PFC080034;PFC080034;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;TRASEIRA;;PFC080034.jpg;;;; PFC080034 PASTILHA PARA FREIO 2078/2016 20782016 DG9Z2200A FORD FUSION  PASTILHA PARA FREIO PASTILHAS TRASEIRA ORIGINAL DG9Z2200A REGISTRO INMETRO 2078/2016
4345;PFC080037;PFC080037;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC080037.jpg;;;; PFC080037 PASTILHA PARA FREIO 2075/2016 20752016 DG9Z2001A FORD FUSION  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL DG9Z2001A REGISTRO INMETRO 2075/2016
4346;PFC080038;PFC080038;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC080038.jpg;;;; PFC080038 PASTILHA PARA FREIO 2075/2016 20752016 E3B1/2001/AB E3B12001AB FORD KA  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL E3B1/2001/AB REGISTRO INMETRO 2075/2016
4347;PFC080039;PFC080039;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC080039.jpg;;;; PFC080039 PASTILHA PARA FREIO 2081/2016 20812016 6C112K021AE FORD TRANSIT FURGAO 3330/ FURGAO 3550/ VAN 3550  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL 6C112K021AE REGISTRO INMETRO 2081/2016
4348;PFC100017;PFC100017;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;TRASEIRA;;PFC100017.jpg;;;; PFC100017 PASTILHA PARA FREIO 2078/2016 20782016 HONDA CR-V EXL / LX  PASTILHA PARA FREIO PASTILHAS TRASEIRA REGISTRO INMETRO 2078/2016
4349;PFC100018;PFC100018;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC100018.jpg;;;; PFC100018 PASTILHA PARA FREIO 2075/2016 20752016 45022SJFE00 HONDA ACCORD LX CIVIC GX - AMERICANA  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL 45022SJFE00 REGISTRO INMETRO 2075/2016
4350;PFC100019;PFC100019;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;TRASEIRA;;PFC100019.jpg;;;; PFC100019 PASTILHA PARA FREIO 2078/2016 20782016 43022-TBA-A02 43022TBAA02 HONDA CIVIC EX / EXL / SPORT / TOURING  PASTILHA PARA FREIO PASTILHAS TRASEIRA ORIGINAL 43022-TBA-A02 REGISTRO INMETRO 2078/2016
4351;PFC120009;PFC120009;PASTILHA PARA FREIO;PASTILHAS PARA FREIO;PASTILHAS;DIANTEIRA;;PFC120009.jpg;;;; PFC120009 PASTILHA PARA FREIO 2081/2016 20812016 42555881 IVECO DAILY 35C15 - S 15 / 35S18 - S18 40C12 40C15 40C18 45C15 45C18 45S14 50C15 50C18 55C16 CHASSI -CABINE 55C16 GRAN FURGONE /MAXI FURGONE 55C17 60C15 60C18 65C15 65C18 CABINE DUPLA III 29L10 III 29L12 III 29L14 S 10 S 12 S 14  PASTILHA PARA FREIO PASTILHAS DIANTEIRA ORIGINAL 42555881 REGISTRO INMETRO 2081/2016
