id;codigo;codigo_pesq;descricao;grupo_cofap;linha;posicao;unidade;foto;foto2;foto3;observacao;texto_busca
6480;SEC04433;SEC04433;SEMIEIXO;SEMIEIXOS;COMPLETO;DIANTEIRA ESQUERDA;;SEC04433.jpg;;;; SEC04433 SEMIEIXO NJH31-292S NJH31292S CHEVROLET TRACKER CAMBIO AUTOMATICO  SEMIEIXO COMPLETO DIANTEIRA ESQUERDA NAKATA NJH31-292S
6481;KSC17115S;KSC17115S;KIT SUSPENSÃO;KIT E TOP KIT SUSPENSÃO;;DIANTEIRA;;KSC17115S.jpg;;;; KSC17115S KIT SUSPENSAO SK91029S PEUGEOT 208  KIT SUSPENSAO  DIANTEIRA SAMPEL SK91029S
6482;KSC22207S;KSC22207S;KIT SUSPENSÃO;KIT E TOP KIT SUSPENSÃO;;DIANTEIRA;;KSC22207S.jpg;;;; KSC22207S KIT SUSPENSAO SK91011S TOYOTA YARIS  KIT SUSPENSAO  DIANTEIRA SAMPEL SK91011S
6483;KSC22208S;KSC22208S;KIT SUSPENSÃO;KIT E TOP KIT SUSPENSÃO;;TRASEIRA;;KSC22208S.jpg;;;; KSC22208S KIT SUSPENSAO SK91026S TOYOTA COROLLA  KIT SUSPENSAO  TRASEIRA SAMPEL SK91026S
6484;TKC22005;TKC22005;TOP KIT SUSPENSÃO;KIT E TOP KIT SUSPENSÃO;;DIANTEIRA;;TKC22005.jpg;;;; TKC22005 TOP KIT SUSPENSAO SK91009BS TOYOTA YARIS  TOP KIT SUSPENSAO  DIANTEIRA SAMPEL SK91009BS
6485;TKC29007;TKC29007;TOP KIT SUSPENSÃO;KIT E TOP KIT SUSPENSÃO;;TRASEIRA;;TKC29007.jpg;;;; TKC29007 TOP KIT SUSPENSAO SK91017S NISSAN KICKS  TOP KIT SUSPENSAO  TRASEIRA SAMPEL SK91017S
6486;TKC32112;TKC32112;TOP KIT SUSPENSÃO;KIT E TOP KIT SUSPENSÃO;;TRASEIRA;;TKC32112.jpg;;;; TKC32112 TOP KIT SUSPENSAO SK992S HYUNDAI KIA MOTORS IX35 SPORTAGE  TOP KIT SUSPENSAO  TRASEIRA SAMPEL SK992S
6487;GB48479;GB48479;AMORTECEDOR;AMORTECEDORES;TURBOGAS;TRASEIRA;;GB48479.jpg;;;; GB48479 AMORTECEDOR 3543/2012 35432012 52611T1WA03 72957 HG 41283 HG41283 HONDA CR-V  AMORTECEDOR TURBOGAS TRASEIRA MONROE 72957 NAKATA HG 41283 ORIGINAL 52611T1WA03 REGISTRO INMETRO 3543/2012
6488;GB48484;GB48484;AMORTECEDOR;AMORTECEDORES;TURBOGAS;CABINE TRASEIRA;;GB48484.jpg;;;; GB48484 AMORTECEDOR 504000259 505000259 711500115730 CB099 ST 028 ST028 IVECO EUROTECH  AMORTECEDOR TURBOGAS CABINE TRASEIRA MONROE CB099 ORIGINAL 504000259 ORIGINAL 711500115730 ORIGINAL 505000259 SUSPENTECH ST 028
6489;GP33528;GP33528;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA DIREITA;;GP33528.jpg;;;; GP33528 AMORTECEDOR 3542/2012 35422012 546612S800 HYUNDAI IX35  AMORTECEDOR TURBOGAS DIANTEIRA DIREITA ORIGINAL 546612S800 REGISTRO INMETRO 3542/2012
6490;GP33529;GP33529;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA ESQUERDA;;GP33529.jpg;;;; GP33529 AMORTECEDOR 3542/2012 35422012 546512S800 HYUNDAI IX35  AMORTECEDOR TURBOGAS DIANTEIRA ESQUERDA ORIGINAL 546512S800 REGISTRO INMETRO 3542/2012
6491;MGC16778;MGC16778;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;TAMPA TRASEIRA;;MGC16778.jpg;;;; MGC16778 MOLA A GAS FR3B/63406A10-BB FR3B63406A10BB FR3Z/63406A10/B/ FR3Z63406A10B FORD MUSTANG  MOLA A GAS MOLA A GAS TAMPA TRASEIRA ORIGINAL FR3B/63406A10-BB ORIGINAL FR3Z/63406A10/B/
6492;SGP30108;SGP30108;AMORTECEDOR;AMORTECEDORES;SPA - TURBOGAS;DIANTEIRA;;SGP30108.jpg;;;PRODUTO TAMBÉM DISPONÍVEL NA VERSÃO TURBOGAS CÓDIGO GP30108; SGP30108 AMORTECEDOR 3542/2012 35422012 7700434923 8200126407 HG 33001 HG33001 SP151 RENAULT CLIO HATCH - SI / RT / RN / RL SEDAN - RT / RN / RL  AMORTECEDOR SPA - TURBOGAS DIANTEIRA MONROE SP151 NAKATA HG 33001 ORIGINAL 7700434923 ORIGINAL 8200126407 REGISTRO INMETRO 3542/2012
6493;B.48473;B48473;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;B.48473.jpg;;;; B.48473 B48473 AMORTECEDOR 553005K001-BI 553005K001BI 6934/2020 69342020 HYUNDAI HD78 HD80  AMORTECEDOR SUPER TRASEIRA ORIGINAL 553005K001-BI REGISTRO INMETRO 6934/2020
6494;GP30647;GP30647;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA;;GP30647.jpg;;;; GP30647 AMORTECEDOR 3542/2012 35422012 543029530R 808416MM HG41151 SP033 RENAULT KANGOO CAMBIO MANUAL EXPRESS - CAMBIO MANUAL  AMORTECEDOR TURBOGAS DIANTEIRA MONROE SP033 NAKATA HG41151 ORIGINAL 543029530R REGISTRO INMETRO 3542/2012 MONROE 808416MM
6495;MGC16815;MGC16815;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;TAMPA TRASEIRA;;MGC16815.jpg;;;; MGC16815 MOLA A GAS CITROEN C4 PICASSO  MOLA A GAS MOLA A GAS TAMPA TRASEIRA 
6497;BJC04164M;BJC04164M;BANDEJA;BANDEJAS;COM BUCHAS / COM MANCAL / SEM PIVÔ;DIANTEIRA DIREITA;;BJC04164M.jpg;;;; BJC04164M BANDEJA 84406464 BDJ0394 CHEVROLET EQUINOX  BANDEJA COM BUCHAS / COM MANCAL / SEM PIVO DIANTEIRA DIREITA ORIGINAL 84406464 PERFECT BDJ0394
6498;BJC04165M;BJC04165M;BANDEJA;BANDEJAS;COM BUCHAS / COM MANCAL / SEM PIVÔ;DIANTEIRA ESQUERDA;;BJC04165M.jpg;;;; BJC04165M BANDEJA 84406463 BDJ0395 CHEVROLET EQUINOX  BANDEJA COM BUCHAS / COM MANCAL / SEM PIVO DIANTEIRA ESQUERDA ORIGINAL 84406463 PERFECT BDJ0395
6499;BJC10036M;BJC10036M;BANDEJA;BANDEJAS;COM BUCHAS / SEM PIVÔ;DIANTEIRA DIREITA;;BJC10036M.jpg;;;; BJC10036M BANDEJA 51350-T14-M00 51350T14M00 HONDA CITY HATCH SEDAN  BANDEJA COM BUCHAS / SEM PIVO DIANTEIRA DIREITA ORIGINAL 51350-T14-M00
6500;BJC10037M;BJC10037M;BANDEJA;BANDEJAS;COM BUCHAS / SEM PIVÔ;DIANTEIRA ESQUERDA;;BJC10037M.jpg;;;; BJC10037M BANDEJA 51360-T14-M00 51360T14M00 HONDA CITY HATCH SEDAN  BANDEJA COM BUCHAS / SEM PIVO DIANTEIRA ESQUERDA ORIGINAL 51360-T14-M00
6501;BJC22024M;BJC22024M;BANDEJA;BANDEJAS;COM BUCHAS / COM PIVÔ;DIANTEIRA INFERIOR DIREITA;;BJC22024M.jpg;;;; BJC22024M BANDEJA 48068-0K040 RH 480680K040RH BDJ2052 NBJ7004DP TT14030C TOYOTA HILUX PICK-UP SW4  BANDEJA COM BUCHAS / COM PIVO DIANTEIRA INFERIOR DIREITA GRAZZIMETAL TT14030C NAKATA NBJ7004DP ORIGINAL 48068-0K040 RH PERFECT BDJ2052
6502;BJC22025M;BJC22025M;BANDEJA;BANDEJAS;COM BUCHAS / COM PIVÔ;DIANTEIRA INFERIOR ESQUERDA;;BJC22025M.jpg;;;; BJC22025M BANDEJA 48069-0K040 LH 480690K040LH BDJ2053 NBJ7004EP TT14031C TOYOTA HILUX PICK-UP SW4  BANDEJA COM BUCHAS / COM PIVO DIANTEIRA INFERIOR ESQUERDA GRAZZIMETAL TT14031C NAKATA NBJ7004EP ORIGINAL 48069-0K040 LH PERFECT BDJ2053
6503;BJC22026M;BJC22026M;BANDEJA;BANDEJAS;COM BUCHAS / COM PIVÔ;DIANTEIRA INFERIOR DIREITA;;BJC22026M.jpg;;;; BJC22026M BANDEJA 48068-0K090 RH 480680K090RH BDJ0710 NBJ7017DP TOYOTA HILUX PICK-UP SW4  BANDEJA COM BUCHAS / COM PIVO DIANTEIRA INFERIOR DIREITA NAKATA NBJ7017DP ORIGINAL 48068-0K090 RH PERFECT BDJ0710
6504;BJC22027M;BJC22027M;BANDEJA;BANDEJAS;COM BUCHAS / COM PIVÔ;DIANTEIRA INFERIOR ESQUERDA;;BJC22027M.jpg;;;; BJC22027M BANDEJA 48069-0K090 LH 480690K090LH BDJ0709 NBJ7017EP TOYOTA HILUX PICK-UP SW4  BANDEJA COM BUCHAS / COM PIVO DIANTEIRA INFERIOR ESQUERDA NAKATA NBJ7017EP ORIGINAL 48069-0K090 LH PERFECT BDJ0709
6505;BJC32032M;BJC32032M;BANDEJA;BANDEJAS;COM BUCHAS / SEM PIVÔ;DIANTEIRA DIREITA;;BJC32032M.jpg;;;; BJC32032M BANDEJA 54501-2W000 545012W000 BDJ2100 HYUNDAI SANTA FE  BANDEJA COM BUCHAS / SEM PIVO DIANTEIRA DIREITA ORIGINAL 54501-2W000 PERFECT BDJ2100
6506;BJC32033M;BJC32033M;BANDEJA;BANDEJAS;COM BUCHAS / SEM PIVÔ;DIANTEIRA ESQUERDA;;BJC32033M.jpg;;;; BJC32033M BANDEJA 54500-2W000 545002W000 BDJ2101 HYUNDAI SANTA FE  BANDEJA COM BUCHAS / SEM PIVO DIANTEIRA ESQUERDA ORIGINAL 54500-2W000 PERFECT BDJ2101
6507;BJC32046M;BJC32046M;BANDEJA;BANDEJAS;COM BUCHAS / SEM PIVÔ;DIANTEIRA DIREITA;;BJC32046M.jpg;;;; BJC32046M BANDEJA 54501R1000 BDJ2198 HYUNDAI HB20  BANDEJA COM BUCHAS / SEM PIVO DIANTEIRA DIREITA ORIGINAL 54501R1000 PERFECT BDJ2198
6508;BJC32047M;BJC32047M;BANDEJA;BANDEJAS;COM BUCHAS / SEM PIVÔ;DIANTEIRA ESQUERDA;;BJC32047M.jpg;;;; BJC32047M BANDEJA HYUNDAI HB20  BANDEJA COM BUCHAS / SEM PIVO DIANTEIRA ESQUERDA 
6509;GB27720;GB27720;AMORTECEDOR;AMORTECEDORES;TURBOGAS;TRASEIRA;;GB27720.jpg;;;; GB27720 AMORTECEDOR 3541/2012 35412012 526113M6M01 HG 41539 HG41539 HONDA HR-V  AMORTECEDOR TURBOGAS TRASEIRA ORIGINAL 526113M6M01 REGISTRO INMETRO 3541/2012 NAKATA HG 41539
6510;GB48494;GB48494;AMORTECEDOR;AMORTECEDORES;TURBOGAS;TRASEIRA;;GB48494.jpg;;;; GB48494 AMORTECEDOR 3541/2012 35412012 JS1/18097/AA JS118097AA FORD TERRITORY  AMORTECEDOR TURBOGAS TRASEIRA ORIGINAL JS1/18097/AA REGISTRO INMETRO 3541/2012
6511;GP33534;GP33534;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA DIREITA;;GP33534.jpg;;;; GP33534 AMORTECEDOR 3542/2012 35422012 546612P400 546612P900-BI 546612P900BI 546612W200-BI 546612W200BI 54661B8850 746002SP HYUNDAI KIA MOTORS GRAND SANTA FE SORENTO 4X4  AMORTECEDOR TURBOGAS DIANTEIRA DIREITA ORIGINAL 54661B8850 REGISTRO INMETRO 3542/2012 ORIGINAL 546612W200-BI MONROE 746002SP ORIGINAL 546612P400 ORIGINAL 546612P900-BI
6512;GP33535;GP33535;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA ESQUERDA;;GP33535.jpg;;;; GP33535 AMORTECEDOR 3542/2012 35422012 546512P400 546512P900-BI 546512P900BI 546512W200-BI 546512W200BI 54651B8060 746003SP HYUNDAI KIA MOTORS GRAND SANTA FE SORENTO 4X4  AMORTECEDOR TURBOGAS DIANTEIRA ESQUERDA ORIGINAL 54651B8060 REGISTRO INMETRO 3542/2012 ORIGINAL 546512W200-BI MONROE 746003SP ORIGINAL 546512P400 ORIGINAL 546512P900-BI
6513;MGC16809;MGC16809;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;TAMPA TRASEIRA;;MGC16809.jpg;;;; MGC16809 MOLA A GAS 81831-BX010 81831BX010 81831BX000 81841-BX010 81841BX010 81841BX000 HYUNDAI CRETA G2 (EXCETO ACTION)  MOLA A GAS MOLA A GAS TAMPA TRASEIRA ORIGINAL 81831-BX010 ORIGINAL 81841-BX010 ORIGINAL 81831BX000 ORIGINAL 81841BX000
6514;MGC16810;MGC16810;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;CAPÔ DO MOTOR;;MGC16810.jpg;;;; MGC16810 MOLA A GAS 81161S1000 HYUNDAI SANTA FE  MOLA A GAS MOLA A GAS CAPO DO MOTOR ORIGINAL 81161S1000
6515;MGC16811;MGC16811;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;CAPÔ DO MOTOR;;MGC16811.jpg;;;; MGC16811 MOLA A GAS 81160-3J000 811603J000 HYUNDAI VERA CRUZ  MOLA A GAS MOLA A GAS CAPO DO MOTOR ORIGINAL 81160-3J000
6516;MGC16812;MGC16812;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;TAMPA TRASEIRA;;MGC16812.jpg;;;; MGC16812 MOLA A GAS 81770-3J020 817703J020 HYUNDAI VERA CRUZ  MOLA A GAS MOLA A GAS TAMPA TRASEIRA ORIGINAL 81770-3J020
6517;MGC16813;MGC16813;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;TAMPA TRASEIRA;;MGC16813.jpg;;;; MGC16813 MOLA A GAS 904528241R RENAULT SANDERO STEPWAY  MOLA A GAS MOLA A GAS TAMPA TRASEIRA ORIGINAL 904528241R
6518;MGC16814;MGC16814;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;TAMPA TRASEIRA;;MGC16814.jpg;;;; MGC16814 MOLA A GAS 8185077R01 SUZUKI JIMNY SIERRA  MOLA A GAS MOLA A GAS TAMPA TRASEIRA ORIGINAL 8185077R01
6519;JHC03136;JHC03136;JUNTA HOMOCINÉTICA FIXA;JUNTAS HOMOCINÉTICAS FIXAS E KITS REPARO;FIXA;DIANTEIRA - LADO RODA;;JHC03136.jpg;;;; JHC03136 JUNTA HOMOCINETICA FIXA FIAT JEEP RENEGADE 4X2 - CAMBIO AUTOMATICO TORO  JUNTA HOMOCINETICA FIXA FIXA DIANTEIRA - LADO RODA 
6520;JHC03138;JHC03138;JUNTA HOMOCINÉTICA FIXA;JUNTAS HOMOCINÉTICAS FIXAS E KITS REPARO;FIXA;DIANTEIRA - LADO RODA;;JHC03138.jpg;;;; JHC03138 JUNTA HOMOCINETICA FIXA FIAT FASTBACK CAMBIO AUTOMATICO PULSE ABARTH - CAMBIO AUTOMATICO  JUNTA HOMOCINETICA FIXA FIXA DIANTEIRA - LADO RODA 
6523;JHC18125;JHC18125;JUNTA HOMOCINÉTICA FIXA;JUNTAS HOMOCINÉTICAS FIXAS E KITS REPARO;FIXA;DIANTEIRA - LADO RODA;;JHC18125.jpg;;;; JHC18125 JUNTA HOMOCINETICA FIXA RENAULT SCENIC COM ABS  JUNTA HOMOCINETICA FIXA FIXA DIANTEIRA - LADO RODA 
6524;JHC39004;JHC39004;JUNTA HOMOCINÉTICA FIXA;JUNTAS HOMOCINÉTICAS FIXAS E KITS REPARO;FIXA;DIANTEIRA - LADO RODA;;JHC39004.jpg;;;; JHC39004 JUNTA HOMOCINETICA FIXA MITSUBISHI PAJERO TR4 - 4X4 - CAMBIO AUTOMATICO  JUNTA HOMOCINETICA FIXA FIXA DIANTEIRA - LADO RODA 
6525;SEC03031;SEC03031;SEMIEIXO;SEMIEIXOS;COMPLETO;DIANTEIRA ESQUERDA;;SEC03031.jpg;;;; SEC03031 SEMIEIXO FIAT FASTBACK CAMBIO AUTOMATICO PULSE ABARTH - CAMBIO AUTOMATICO  SEMIEIXO COMPLETO DIANTEIRA ESQUERDA 
6526;SEC03032;SEC03032;SEMIEIXO;SEMIEIXOS;COMPLETO;DIANTEIRA DIREITA;;SEC03032.jpg;;;; SEC03032 SEMIEIXO FIAT FASTBACK CAMBIO AUTOMATICO PULSE ABARTH - CAMBIO AUTOMATICO  SEMIEIXO COMPLETO DIANTEIRA DIREITA 
6527;CRC01024;CRC01024;CUBO DE RODA;CUBOS DE RODA;COM ABS COM ROLAMENTO;TRASEIRA;;CRC01024.jpg;;;; CRC01024 CUBO DE RODA 2QB5016111 AL-207 AL207 NKF8281 VOLKSWAGEN NIVUS POLO T-CROSS VIRTUS  CUBO DE RODA COM ABS COM ROLAMENTO TRASEIRA IMA AL-207 NAKATA NKF8281 ORIGINAL 2QB5016111
6528;CRC01025;CRC01025;CUBO DE RODA;CUBOS DE RODA;SEM ROLAMENTO - SEM ABS;DIANTEIRA;;CRC01025.jpg;;;; CRC01025 CUBO DE RODA 357407615 AL-804 AL804 HFCD02 NKF8025 SEAT VOLKSWAGEN CORDOBA GOLF IBIZA POLO CLASSIC  CUBO DE RODA SEM ROLAMENTO - SEM ABS DIANTEIRA HIPPER FREIOS HFCD02 IMA AL-804 NAKATA NKF8025 ORIGINAL 357407615
6529;CRC04028;CRC04028;CUBO DE RODA;CUBOS DE RODA;SEM ROLAMENTO;DIANTEIRA;;CRC04028.jpg;;;; CRC04028 CUBO DE RODA 90496444 9433004 AL96 HFCD25A CHEVROLET VECTRA  CUBO DE RODA SEM ROLAMENTO DIANTEIRA HIPPER FREIOS HFCD25A IMA AL96 ORIGINAL 90496444 ORIGINAL 9433004
6530;CRC04029;CRC04029;CUBO DE RODA;CUBOS DE RODA;COM ROLAMENTO - SEM ABS;TRASEIRA;;CRC04029.jpg;;;; CRC04029 CUBO DE RODA 93261829 AL-102 AL102 HFCT20 NKF8032 CHEVROLET CORSA PICK-UP IPANEMA KADETT MONZA  CUBO DE RODA COM ROLAMENTO - SEM ABS TRASEIRA HIPPER FREIOS HFCT20 IMA AL-102 NAKATA NKF8032 ORIGINAL 93261829
6531;CRC04030;CRC04030;CUBO DE RODA;CUBOS DE RODA;COM ROLAMENTO;TRASEIRA;;CRC04030.jpg;;;; CRC04030 CUBO DE RODA 13507454 AL-4040 AL4040 CHEVROLET CRUZE  CUBO DE RODA COM ROLAMENTO TRASEIRA IMA AL-4040 ORIGINAL 13507454
6532;CRC04031;CRC04031;CUBO DE RODA;CUBOS DE RODA;COM ROLAMENTO - COM ABS;DIANTEIRA;;CRC04031.jpg;;;; CRC04031 CUBO DE RODA 26698388 AL-698 AL698 HFCD51C NKF8288 CHEVROLET ONIX ONIX PLUS  CUBO DE RODA COM ROLAMENTO - COM ABS DIANTEIRA IMA AL-698 NAKATA NKF8288 ORIGINAL 26698388 HIPPER FREIOS HFCD51C
6533;CRC04032;CRC04032;CUBO DE RODA;CUBOS DE RODA;COM ROLAMENTO - COM ABS;TRASEIRA;;CRC04032.jpg;;;; CRC04032 CUBO DE RODA 26698389 AL-4038 AL4038 HFCT51C NKF8289 CHEVROLET ONIX  CUBO DE RODA COM ROLAMENTO - COM ABS TRASEIRA IMA AL-4038 NAKATA NKF8289 ORIGINAL 26698389 HIPPER FREIOS HFCT51C
6534;CRC10020;CRC10020;CUBO DE RODA;CUBOS DE RODA;SEM ROLAMENTO;DIANTEIRA;;CRC10020.jpg;;;; CRC10020 CUBO DE RODA 44600SJKJ00 44600TLAA00 AL-578 AL578 HFCD712 HONDA CR-V ZR-V  CUBO DE RODA SEM ROLAMENTO DIANTEIRA HIPPER FREIOS HFCD712 IMA AL-578 ORIGINAL 44600SJKJ00 ORIGINAL 44600TLAA00
6535;CRC19001;CRC19001;CUBO DE RODA;CUBOS DE RODA;COM ROLAMENTO;TRASEIRA;;CRC19001.jpg;;;; CRC19001 CUBO DE RODA 30639877/30748192 3063987730748192 VOLVO S60 V70 XC70  CUBO DE RODA COM ROLAMENTO TRASEIRA ORIGINAL 30639877/30748192
6536;CRC19002;CRC19002;CUBO DE RODA;CUBOS DE RODA;COM ROLAMENTO;TRASEIRA;;CRC19002.jpg;;;; CRC19002 CUBO DE RODA 31277810/31329970 3127781031329970 VOLVO XC60  CUBO DE RODA COM ROLAMENTO TRASEIRA ORIGINAL 31277810/31329970
6537;CRC22011;CRC22011;CUBO DE RODA;CUBOS DE RODA;COM ROLAMENTO - COM ABS;DIANTEIRA;;CRC22011.jpg;;;; CRC22011 CUBO DE RODA 435020K030 AL-525 AL525 HFCD500D NKF8184 TOYOTA HILUX 4X4  CUBO DE RODA COM ROLAMENTO - COM ABS DIANTEIRA HIPPER FREIOS HFCD500D IMA AL-525 NAKATA NKF8184 ORIGINAL 435020K030
6538;CRC22012;CRC22012;CUBO DE RODA;CUBOS DE RODA;COM ROLAMENTO - SEM ABS;DIANTEIRA;;CRC22012.jpg;;;; CRC22012 CUBO DE RODA 4350KK020 NKF8280 TOYOTA HILUX 4X2  CUBO DE RODA COM ROLAMENTO - SEM ABS DIANTEIRA NAKATA NKF8280 ORIGINAL 4350KK020
6539;CRC22013;CRC22013;CUBO DE RODA;CUBOS DE RODA;COM ROLAMENTO - SEM ABS;DIANTEIRA;;CRC22013.jpg;;;; CRC22013 CUBO DE RODA 90369T0003 AL-985 AL985 HFCD500C NKF8081 TOYOTA HILUX SW4  CUBO DE RODA COM ROLAMENTO - SEM ABS DIANTEIRA HIPPER FREIOS HFCD500C IMA AL-985 NAKATA NKF8081 ORIGINAL 90369T0003
6540;CRC22014;CRC22014;CUBO DE RODA;CUBOS DE RODA;COM ROLAMENTO - COM ABS;TRASEIRA;;CRC22014.jpg;;;; CRC22014 CUBO DE RODA 424500D120 AL-4030 AL4030 NKF8285 TOYOTA YARIS  CUBO DE RODA COM ROLAMENTO - COM ABS TRASEIRA IMA AL-4030 NAKATA NKF8285 ORIGINAL 424500D120
6541;CRC22015;CRC22015;CUBO DE RODA;CUBOS DE RODA;COM ROLAMENTO - COM ABS;DIANTEIRA ESQUERDA;;CRC22015.jpg;;;; CRC22015 CUBO DE RODA 435600D110 435600D111 AL-4029 AL4029 NKF8284 TOYOTA YARIS  CUBO DE RODA COM ROLAMENTO - COM ABS DIANTEIRA ESQUERDA IMA AL-4029 NAKATA NKF8284 ORIGINAL 435600D110 ORIGINAL 435600D111
6542;CRC22016;CRC22016;CUBO DE RODA;CUBOS DE RODA;COM ROLAMENTO - COM ABS;DIANTEIRA DIREITA;;CRC22016.jpg;;;; CRC22016 CUBO DE RODA 435500D160 435500D161 AL-4028 AL4028 NKF8283 TOYOTA YARIS  CUBO DE RODA COM ROLAMENTO - COM ABS DIANTEIRA DIREITA IMA AL-4028 NAKATA NKF8283 ORIGINAL 435500D160 ORIGINAL 435500D161
6543;CRC32015;CRC32015;CUBO DE RODA;CUBOS DE RODA;SEM ROLAMENTO;DIANTEIRA;;CRC32015.jpg;;;; CRC32015 CUBO DE RODA 517501P000 9427018 AL-762 AL762 HFCD358 HYUNDAI KIA MOTORS CERATO ELANTRA SOUL VELOSTER  CUBO DE RODA SEM ROLAMENTO DIANTEIRA HIPPER FREIOS HFCD358 IMA AL-762 ORIGINAL 517501P000 ORIGINAL 9427018
6544;CRC52002;CRC52002;CUBO DE RODA;CUBOS DE RODA;SEM ROLAMENTO;DIANTEIRA;;CRC52002.jpg;;;; CRC52002 CUBO DE RODA 68088498AD 68088499AD AL-4047 AL4047 K68088498AD JEEP COMPASS  CUBO DE RODA SEM ROLAMENTO DIANTEIRA IMA AL-4047 ORIGINAL 68088498AD ORIGINAL 68088499AD ORIGINAL K68088498AD
6545;CRC53000;CRC53000;CUBO DE RODA;CUBOS DE RODA;COM ROLAMENTO - COM ABS;TRASEIRA;;CRC53000.jpg;;;; CRC53000 CUBO DE RODA 8K0501611A 8K0598611 8W0598611A AL-325 AL325 AUDI A4 AVANT A5 A6 ALLROAD A7 A8 Q5 SQ5  CUBO DE RODA COM ROLAMENTO - COM ABS TRASEIRA IMA AL-325 ORIGINAL 8K0501611A ORIGINAL 8K0598611 ORIGINAL 8W0598611A
6546;CRC55004;CRC55004;CUBO DE RODA;CUBOS DE RODA;SEM ROLAMENTO - SEM ABS;DIANTEIRA;;CRC55004.jpg;;;; CRC55004 CUBO DE RODA 330780 9428036 9647052187 9651610487 HFCD41A NKF8287 CITROEN FIAT PEUGEOT 407 508 C6 E-EXPERT E-JUMPY E-SCUDO EXPERT JUMPY SCUDO  CUBO DE RODA SEM ROLAMENTO - SEM ABS DIANTEIRA HIPPER FREIOS HFCD41A NAKATA NKF8287 ORIGINAL 330780 ORIGINAL 9428036 ORIGINAL 9647052187 ORIGINAL 9651610487
6547;B.48495;B48495;AMORTECEDOR;AMORTECEDORES;SUPER;EIXO DIRECIONAL;;B.48495.jpg;;;; B.48495 B48495 AMORTECEDOR 8036010X01 KLL DIVERSOS EIXO AUTO DIRECIONAL  AMORTECEDOR SUPER EIXO DIRECIONAL ORIGINAL 8036010X01
6548;GB48492;GB48492;AMORTECEDOR;AMORTECEDORES;TURBOGAS;TRASEIRA;;GB48492.jpg;;;; GB48492 AMORTECEDOR 3541/2012 35412012 553102W300-BI 553102W300BI 55310B8050 55310B8250-BI 55310B8250BI HYUNDAI GRAND SANTA FE  AMORTECEDOR TURBOGAS TRASEIRA ORIGINAL 55310B8050 ORIGINAL 55310B8250-BI REGISTRO INMETRO 3541/2012 ORIGINAL 553102W300-BI
6549;L.13847;L13847;AMORTECEDOR;AMORTECEDORES;SUPER;DIANTEIRA;;L.13847.jpg;;;; L.13847 L13847 AMORTECEDOR 3541/2012 35412012 9583200530 9583200630 MERCEDES-BENZ ATEGO 1719 ATEGO 1726 ATEGO 2730  AMORTECEDOR SUPER DIANTEIRA ORIGINAL 9583200630 REGISTRO INMETRO 3541/2012 ORIGINAL 9583200530
6550;GP33537;GP33537;AMORTECEDOR;AMORTECEDORES;TURBOGAS;DIANTEIRA;;GP33537.jpg;;;; GP33537 AMORTECEDOR 3542/2012 35422012 MSI/18045/BA MSI18045BA FORD TERRITORY  AMORTECEDOR TURBOGAS DIANTEIRA ORIGINAL MSI/18045/BA REGISTRO INMETRO 3542/2012
6551;L.13840;L13840;AMORTECEDOR;AMORTECEDORES;SUPER;TRASEIRA;;L.13840.jpg;;;; L.13840 L13840 AMORTECEDOR 3541/2012 35412012 65501 65502 9583200130 9583200230 MERCEDES-BENZ ATEGO 1419 CABINE ESTENDIDA LA 4X2 CABINE LEITO TETO ALTO LA 4X2 CABINE LEITO TETO BAIXO LA 4X2 CABINE SIMPLES ATEGO 1719  AMORTECEDOR SUPER TRASEIRA ORIGINAL 9583200130 REGISTRO INMETRO 3541/2012 MONROE 65501 MONROE 65502 ORIGINAL 9583200230
6552;MGC16808;MGC16808;MOLA A GÁS;MOLAS A GÁS;MOLA A GÁS;DIANTEIRA DIR. / ESQ.;;MGC16808.jpg;;;; MGC16808 MOLA A GAS 5000359930 IVECO CAVALLINO EUROCARGO  MOLA A GAS MOLA A GAS DIANTEIRA DIR. / ESQ. ORIGINAL 5000359930
6553;SEC10019;SEC10019;SEMIEIXO;SEMIEIXOS;COMPLETO;DIANTEIRA ESQUERDA;;SEC10019.jpg;;;; SEC10019 SEMIEIXO NJH37-468S NJH37468S HONDA CIVIC COM ABS - CAMBIO MANUAL  SEMIEIXO COMPLETO DIANTEIRA ESQUERDA NAKATA NJH37-468S
